Age,Attrition,DistanceFromHome,Education,EmployeeCount,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,AvgYearsPerCompany,StabilityUnderManager,TravelIntensity,YearsBeforePromotion,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Department_Research & Development,Department_Sales
51,0,6,1,1,1,1,131160,1.0,1,11,8,0,1.0,6,1,0,0,1.0,0.0,6,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1,10,0,1,2,1,41890,0.0,1,23,8,1,6.0,3,5,1,4,4.0,0.8,20,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,0,17,3,1,3,4,193280,1.0,1,15,8,3,5.0,2,5,0,3,5.0,0.6,34,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
38,0,2,4,1,4,3,83210,3.0,1,11,8,3,13.0,5,8,7,5,4.333333333333333,0.625,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,0,10,0,1,5,1,23420,4.0,1,12,8,2,9.0,2,6,0,4,2.25,0.6666666666666666,10,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
46,0,8,2,1,6,4,40710,3.0,1,13,8,0,28.0,5,7,7,7,9.333333333333334,1.0,8,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
28,1,11,1,1,7,2,58130,2.0,1,20,8,1,5.0,2,0,0,0,2.5,0.6666666666666666,11,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
29,0,18,2,1,8,2,31430,2.0,1,22,8,3,10.0,2,0,0,0,5.0,0.6666666666666666,18,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
31,0,1,2,1,9,3,20440,0.0,1,21,8,0,10.0,2,9,7,8,4.0,0.8888888888888888,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,0,7,3,1,10,4,134640,1.0,1,13,8,1,6.0,2,6,1,5,6.0,0.8333333333333334,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,0,17,1,1,11,2,79910,0.0,1,13,8,2,21.0,2,20,4,10,4.0,0.5,17,16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,0,28,0,1,12,1,33770,0.0,1,12,8,2,16.0,2,15,10,11,4.0,0.7333333333333333,28,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,0,14,3,1,13,1,55380,0.0,1,17,8,0,37.0,2,36,4,13,4.0,0.3611111111111111,14,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47,1,1,0,1,14,1,57620,1.0,1,11,8,2,10.0,4,10,9,9,10.0,0.9,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,0,1,2,1,15,1,25920,1.0,1,14,8,0,5.0,2,5,0,4,5.0,0.8,1,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0,1,2,1,16,2,53460,4.0,1,11,8,0,7.0,2,5,0,1,1.75,0.2,1,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,0,3,1,1,17,1,42130,1.0,1,12,8,3,3.0,3,3,1,0,3.0,0.0,3,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0,1,2,1,18,2,41270,2.0,1,13,8,1,15.0,2,5,0,2,7.5,0.4,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,0,7,3,1,19,1,24380,7.0,1,16,8,0,10.0,5,7,6,2,1.4285714285714286,0.2857142857142857,7,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38,0,8,2,1,20,1,68700,1.0,1,11,8,1,8.0,5,8,7,7,8.0,0.875,8,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,0,1,3,1,21,2,104470,1.0,1,18,8,0,6.0,3,6,1,4,6.0,0.6666666666666666,2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,0,8,3,1,22,1,96670,3.0,1,23,8,0,28.0,2,10,1,6,9.333333333333334,0.6,8,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,0,11,3,1,23,2,21480,3.0,1,11,8,0,21.0,2,5,1,3,7.0,0.6,11,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,0,4,3,1,24,1,89260,1.0,1,14,8,0,10.0,4,20,11,6,10.0,0.3,4,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
